2026-01-14 15:10:01 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:10:01 | INFO     | volunteer_location_stream      | ====================================================================================================
2026-01-14 15:10:01 | INFO     | volunteer_location_stream      | ====================================================================================================
2026-01-14 15:10:01 | INFO     | volunteer_location_stream      | ====================================================================================================
2026-01-14 15:10:01 | INFO     | volunteer_location_stream      | ====================================================================================================
2026-01-14 15:10:01 | INFO     | volunteer_location_stream      | 
2026-01-14 15:10:01 | INFO     | volunteer_location_stream      | 
2026-01-14 15:12:23 | INFO     | politician_location_dashboard  | 
2026-01-14 15:12:23 | INFO     | politician_location_dashboard  | 
2026-01-14 15:12:23 | INFO     | politician_location_dashboard  | ====================================================================================================
2026-01-14 15:12:23 | INFO     | politician_location_dashboard  | ====================================================================================================
2026-01-14 15:12:23 | INFO     | politician_location_dashboard  | ====================================================================================================
2026-01-14 15:12:23 | INFO     | politician_location_dashboard  | ====================================================================================================
2026-01-14 15:12:23 | INFO     | politician_location_dashboard  | 
2026-01-14 15:12:23 | INFO     | politician_location_dashboard  | 
2026-01-14 15:12:23 | INFO     | politician_location_dashboard  | 
2026-01-14 15:12:23 | INFO     | politician_location_dashboard  | 
2026-01-14 15:12:23 | INFO     | politician_location_dashboard  | 
2026-01-14 15:12:23 | INFO     | politician_location_dashboard  | 
2026-01-14 15:12:23 | INFO     | politician_location_dashboard  | 
2026-01-14 15:12:23 | INFO     | politician_location_dashboard  | 
2026-01-14 15:12:23 | INFO     | politician_location_dashboard  | 
2026-01-14 15:12:23 | INFO     | politician_location_dashboard  | 
2026-01-14 15:12:23 | INFO     | politician_location_dashboard  | 
2026-01-14 15:12:23 | INFO     | politician_location_dashboard  | 
2026-01-14 15:12:23 | INFO     | politician_location_dashboard  | 
2026-01-14 15:12:23 | INFO     | politician_location_dashboard  | 
2026-01-14 15:12:23 | INFO     | politician_location_dashboard  | 
2026-01-14 15:12:23 | INFO     | politician_location_dashboard  | 
2026-01-14 15:12:23 | INFO     | politician_location_dashboard  | 
2026-01-14 15:12:23 | INFO     | politician_location_dashboard  | 
2026-01-14 15:12:23 | INFO     | volunteer_location_stream      | ====================================================================================================
2026-01-14 15:12:23 | INFO     | volunteer_location_stream      | ====================================================================================================
2026-01-14 15:12:23 | INFO     | volunteer_location_stream      | ====================================================================================================
2026-01-14 15:12:23 | INFO     | volunteer_location_stream      | ====================================================================================================
2026-01-14 15:12:23 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:12:23 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:12:23 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:12:23 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:12:23 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:12:23 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:12:24 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:12:24 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:12:24 | WARNING  | broadcast_location_to_politician | 
2026-01-14 15:12:24 | WARNING  | broadcast_location_to_politician | 
2026-01-14 15:12:24 | WARNING  | broadcast_location_to_politician | 
2026-01-14 15:12:24 | WARNING  | broadcast_location_to_politician | 
2026-01-14 15:12:24 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:12:24 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:12:24 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:12:24 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:12:24 | INFO     | volunteer_location_stream      | 
2026-01-14 15:12:24 | INFO     | volunteer_location_stream      | 
2026-01-14 15:12:24 | INFO     | volunteer_location_stream      | 
2026-01-14 15:12:24 | INFO     | volunteer_location_stream      | 
2026-01-14 15:12:24 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:12:24 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:12:24 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:12:24 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:12:24 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:12:24 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:12:24 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:12:24 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:12:24 | WARNING  | broadcast_location_to_politician | 
2026-01-14 15:12:24 | WARNING  | broadcast_location_to_politician | 
2026-01-14 15:12:24 | WARNING  | broadcast_location_to_politician | 
2026-01-14 15:12:24 | WARNING  | broadcast_location_to_politician | 
2026-01-14 15:12:24 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:12:24 | INFO     | broadcast_location_to_politician | ================================================================================
2026-01-14 15:12:24 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:12:24 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:12:24 | INFO     | volunteer_location_stream      | 
2026-01-14 15:12:24 | INFO     | volunteer_location_stream      | 
2026-01-14 15:12:27 | INFO     | volunteer_location_stream      | 
2026-01-14 15:12:27 | INFO     | volunteer_location_stream      | 
2026-01-14 15:12:27 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:12:27 | INFO     | broadcast_location_to_politician | 
2026-01-14 15:12:27 | INFO     | broadcast_location_to_politician | ================================================================================
